old,new
ωρκον,ορκον
ομοσα,ωμοσα
εκκλεινοντες,εκκλινοντες
ουερανου*,ουερανου*
παου,παου
*,*
κκληρονομοι,κκληρονομοι
μαριας,μαρια
αγρυπτιστως,αγρυπνιστως
βουλεσθαι,βουλεσθε
λογοποιειαν,λογοποιιαν
προνομια,προνομεια
επη,επι
καν,και αν
καν,και αν
ακριβιας,ακριβειας
επαρτημενω,επηρτημενω
λογου,λογω
ειδε,ειτε
ῥωγας,ῥογας
οφιληματι,οφειληματι
γραματα,γραμματα
οφιλη,οφειλη
ωφειλη,οφειλη
ετου,ετους
τρισκαιδεκατης,τρεισκαιδεκατης
πολιτια,πολιτεια
τρισκαιδεκατης,τρεισκαιδεκατης
τρισκαιδεκατης,τρεισκαιδεκατης
τεσσερα,τεσσαρα
νομισματια,νομισματιων
ος,ως
κερατιων,κερατια
προτοκωμητης,πρωτοκωμητης
της,τοις
προτοκομητης,πρωτοκομητης
προτοκωμητης,πρωτοκωμητης
στιχι,στοιχει
λογο,λογω
προτοκωμητης,πρωτοκωμητης
νουμιτων,νουμιδων
ληματων,λημματων
ολον,ολων
και,και
ανελλειπως,ανελλιπως
καθʼ,κατʼ
επι,επει
πινα,πεινα
εχαριζατο,εχαρισατο
τεσσερα,τεσσαρα
